country,year,export_entropy_global,n_export_partners_global,top_partner_share,top_partner,export_entropy_regional,gap
HND,2009,0.4601598986021585,14,0.6560968715265408,USA,0.3791540520553029,-0.08100584654685561
HND,2010,0.4993177960446328,14,0.6246366154424684,USA,0.4669682610082475,-0.03234953503638527
HND,2011,0.5264287434059928,14,0.5801904576619659,USA,0.5127228482512314,-0.013705895154761394
HND,2012,0.4460104444581914,14,0.6719260478145967,USA,0.5448967920475013,0.09888634758930992
HND,2014,0.4593458199442853,14,0.6780168909371045,USA,0.5900579762833633,0.130712156339078
HND,2015,0.41649775523170174,14,0.7017640461870903,USA,0.5811641888293422,0.16466643359764044
HND,2016,0.4096383142283001,14,0.7047621149178038,USA,0.5586566918177793,0.14901837758947922
HND,2017,0.40860390942875346,14,0.7041157688433574,USA,0.5783540907079537,0.16975018127920027
HND,2018,0.41945550068692355,14,0.7019363766550728,USA,0.5530362167898784,0.1335807161029548
HND,2019,0.4024573032705977,14,0.693553058784134,USA,0.4093670336162876,0.006909730345689924
HND,2020,0.39045757218551,14,0.7226298793516521,USA,0.4658461434699442,0.07538857128443416
HND,2021,0.39208358366268614,14,0.720516913887513,USA,0.4650089384979827,0.07292535483529655
HND,2023,0.40124211219923767,14,0.7200805426162346,USA,0.4964269896953733,0.09518487749613563
HND,2024,0.41358715293117726,14,0.71152299657097,USA,0.5208543673752005,0.10726721444402326
MEX,2000,0.10149193499609802,14,0.9581589565634431,USA,0.8942292606879972,0.7927373256918993
MEX,2001,0.10837235010815971,14,0.9545977131321609,USA,0.8901634828586252,0.7817911327504655
MEX,2002,0.10194855162511252,14,0.9579384366968817,USA,0.8796042304035605,0.777655678778448
MEX,2003,0.11060511208114983,14,0.9533335093788695,USA,0.8938396611577574,0.7832345490766075
MEX,2004,0.09105676177756786,14,0.963012133979565,USA,0.9096615292794766,0.8186047675019088
MEX,2005,0.1283057531491554,14,0.9449534779525528,USA,0.8867353695118972,0.7584296163627419
MEX,2006,0.14191567705625813,14,0.9379948084543589,USA,0.88094806853228,0.739032391476022
MEX,2007,0.16874170855643308,14,0.9233194459283419,USA,0.8667394541063712,0.6979977455499381
MEX,2008,0.19001118483344615,14,0.9115050082191368,USA,0.8802405270752695,0.6902293422418233
MEX,2009,0.18484760644328635,14,0.9147400599766379,USA,0.8713283350501193,0.686480728606833
MEX,2010,0.20421227960214572,14,0.9037646977704002,USA,0.8631935139692771,0.6589812343671314
MEX,2011,0.22247766125558557,14,0.8923793226134059,USA,0.8425535610870826,0.620075899831497
MEX,2012,0.22432962578157445,14,0.8918108877804198,USA,0.8481100140667259,0.6237803882851515
