exporter,importer,year,value_usd
CHL,PER,2010,1505988997.673
CHL,MEX,2010,1921550680.131
CHL,HND,2010,32947323.62
CHL,ECU,2010,475562705.95
CHL,COL,2010,730179017.265
CHL,BRA,2010,4223819428.078
CHL,GTM,2010,69891409.582
CHL,BOL,2010,1361585435.477
CHL,ARG,2010,992093546.28
CHL,ARG,2011,1181881200.521
CHL,GTM,2011,98929719.19
CHL,HND,2011,33860326.755
CHL,BRA,2011,4495756363.848
CHL,COL,2011,899879994.541
CHL,MEX,2011,1820666222.58
CHL,PER,2011,1922145357.227
CHL,BOL,2011,1730327826.986
CHL,ECU,2011,528997837.774
CHL,MEX,2012,1342367884.614
CHL,BOL,2012,1685389826.386
CHL,BRA,2012,4291728611.571
CHL,PER,2012,1762545970.039
CHL,HND,2012,38838565.87
CHL,COL,2012,912488647.371
CHL,GTM,2012,97788246.082
CHL,ECU,2012,516103337.125
CHL,ARG,2012,1060910626.677
CHL,ECU,2013,522347563.968
CHL,PER,2013,1839714041.51
CHL,MEX,2013,1314302472.247
CHL,BRA,2013,4393104079.507
CHL,ARG,2013,1041190538.584
CHL,BOL,2013,1789276032.323
CHL,GTM,2013,100239279.011
CHL,HND,2013,42633749.31
CHL,COL,2013,865541176.384
CHL,BRA,2014,4021257303.559
CHL,ARG,2014,961748150.916
CHL,COL,2014,901474746.331
CHL,GTM,2014,112681070.937
CHL,MEX,2014,1302133387.674
CHL,ECU,2014,514422135.51
CHL,HND,2014,43438290.71
CHL,PER,2014,1846683232.585
CHL,BOL,2014,1698040833.738
CHL,COL,2015,784965496.21
CHL,GTM,2015,105735308.56
CHL,MEX,2015,1342739219.447
CHL,ECU,2015,454001169.736
CHL,ARG,2015,801846349.579
CHL,HND,2015,44575549.501
CHL,BRA,2015,3047528710.251
CHL,BOL,2015,1300484763.038
